Date,Adj Close_KALYANIFRG.NS,Close_KALYANIFRG.NS,High_KALYANIFRG.NS,Low_KALYANIFRG.NS,Open_KALYANIFRG.NS,Volume_KALYANIFRG.NS,Date
2020-07-13,126.95345306396484,132.39999389648438,138.89999389648438,127.5,134.9499969482422,945,2020-07-13
2020-07-20,126.9054946899414,132.35000610351562,141.9499969482422,128.0,137.85000610351562,3696,2020-07-20
2020-07-27,124.98777770996094,130.35000610351562,137.0,130.0,132.0,3310,2020-07-27
2020-08-03,122.73444366455078,128.0,135.4499969482422,122.55000305175781,130.35000610351562,4954,2020-08-03
2020-08-10,149.77438354492188,156.1999969482422,156.1999969482422,130.0500030517578,134.39999389648438,11545,2020-08-10
2020-08-17,147.23338317871094,153.5500030517578,164.0,146.14999389648438,164.0,8436,2020-08-17
2020-08-24,149.24700927734375,155.64999389648438,164.75,150.14999389648438,161.0,7454,2020-08-24
2020-08-31,146.70602416992188,153.0,163.3000030517578,148.0,163.3000030517578,3393,2020-08-31
2020-09-07,136.06265258789062,141.89999389648438,158.89999389648438,135.0,148.6999969482422,5710,2020-09-07
2020-09-14,136.7817840576172,142.64999389648438,147.9499969482422,137.0500030517578,147.9499969482422,4429,2020-09-14
2020-09-21,130.3407745361328,135.0,146.89999389648438,133.0,145.0,3255,2020-09-21
2020-09-28,131.0648651123047,135.75,141.0,131.0,139.1999969482422,1850,2020-09-28
2020-10-05,132.03038024902344,136.75,142.3000030517578,133.0,136.1999969482422,2345,2020-10-05
2020-10-12,134.1544647216797,138.9499969482422,144.0,132.25,136.75,3467,2020-10-12
2020-10-19,129.13389587402344,133.75,139.9499969482422,131.10000610351562,133.5500030517578,3361,2020-10-19
2020-10-26,132.17518615722656,136.89999389648438,139.60000610351562,127.4000015258789,133.75,1288,2020-10-26
2020-11-02,126.52709197998047,131.0500030517578,139.0,128.0500030517578,137.0,2259,2020-11-02
2020-11-09,125.41678619384766,129.89999389648438,137.60000610351562,125.5,132.0,6788,2020-11-09
2020-11-16,125.51334381103516,130.0,133.6999969482422,123.5999984741211,126.19999694824219,6909,2020-11-16
2020-11-23,126.91329193115234,131.4499969482422,134.89999389648438,127.19999694824219,134.89999389648438,3336,2020-11-23
2020-11-30,136.32679748535156,141.1999969482422,147.9499969482422,128.60000610351562,131.4499969482422,6614,2020-11-30
2020-12-07,147.043701171875,152.3000030517578,155.0,137.1999969482422,141.5,8166,2020-12-07
2020-12-14,148.68502807617188,154.0,166.85000610351562,148.0,157.0,5645,2020-12-14
2020-12-21,145.8368377685547,151.0500030517578,161.6999969482422,142.3000030517578,155.0,3193,2020-12-21
2020-12-28,158.6295623779297,164.3000030517578,167.5,145.3000030517578,151.0500030517578,5171,2020-12-28
2021-01-04,156.3123779296875,161.89999389648438,167.0,156.1999969482422,164.3000030517578,5921,2021-01-04
2021-01-11,153.7538604736328,159.25,169.5,152.0,161.89999389648438,6600,2021-01-11
2021-01-18,142.89212036132812,148.0,159.89999389648438,143.89999389648438,159.25,4426,2021-01-18
2021-01-25,137.9198455810547,142.85000610351562,151.10000610351562,138.10000610351562,148.5,3452,2021-01-25
2021-02-01,139.99563598632812,145.0,150.0,137.25,149.6999969482422,7060,2021-02-01
2021-02-08,149.55397033691406,154.89999389648438,154.89999389648438,137.3000030517578,140.14999389648438,4872,2021-02-08
2021-02-15,179.96681213378906,186.39999389648438,188.10000610351562,154.5,162.60000610351562,14293,2021-02-15
2021-02-22,180.98056030273438,187.4499969482422,194.89999389648438,176.1999969482422,190.0,6883,2021-02-22
2021-03-01,205.5039520263672,212.85000610351562,221.85000610351562,185.5,190.0,10809,2021-03-01
2021-03-08,196.42835998535156,203.4499969482422,227.0,202.39999389648438,223.39999389648438,7665,2021-03-08
2021-03-15,195.99391174316406,203.0,213.8000030517578,190.1999969482422,208.0,7046,2021-03-15
2021-03-22,176.97381591796875,183.3000030517578,210.0,181.0,203.0,3943,2021-03-22
2021-03-29,191.16647338867188,198.0,204.89999389648438,183.0,183.3000030517578,3173,2021-03-29
2021-04-05,181.5115966796875,188.0,204.0,182.10000610351562,202.0,6454,2021-04-05
2021-04-12,170.89122009277344,177.0,187.89999389648438,175.10000610351562,180.0,1749,2021-04-12
2021-04-19,165.0983123779297,171.0,179.9499969482422,162.35000610351562,169.0,3638,2021-04-19
2021-04-26,170.69813537597656,176.8000030517578,182.0,166.5500030517578,172.0,5013,2021-04-26
2021-05-03,184.2149658203125,190.8000030517578,194.0,171.5,176.8000030517578,5595,2021-05-03
2021-05-10,186.00111389160156,192.64999389648438,198.14999389648438,182.64999389648438,186.10000610351562,3947,2021-05-10
2021-05-17,193.09744262695312,200.0,206.9499969482422,186.25,196.5,7796,2021-05-17
2021-05-24,186.3873291015625,193.0500030517578,204.0,191.0,204.0,4847,2021-05-24
2021-05-31,199.90414428710938,207.0500030517578,207.0500030517578,188.0500030517578,199.9499969482422,9024,2021-05-31
2021-06-07,212.35890197753906,219.9499969482422,239.64999389648438,210.0,210.0,21682,2021-06-07
2021-06-14,197.5869598388672,204.64999389648438,224.8000030517578,199.0,224.8000030517578,16988,2021-06-14
2021-06-21,200.38685607910156,207.5500030517578,219.75,201.10000610351562,210.0,8524,2021-06-21
2021-06-28,202.0281982421875,209.25,217.89999389648438,200.0,206.6999969482422,7414,2021-06-28
2021-07-05,205.02122497558594,212.35000610351562,215.0,202.0,205.0,7714,2021-07-05
2021-07-12,201.30406188964844,208.5,219.5,205.14999389648438,213.9499969482422,7062,2021-07-12
2021-07-19,213.66232299804688,221.3000030517578,223.89999389648438,207.10000610351562,208.89999389648438,7519,2021-07-19
2021-07-26,205.2625732421875,212.60000610351562,224.9499969482422,208.0,221.0,3630,2021-07-26
2021-08-02,217.13807678222656,224.89999389648438,231.4499969482422,206.39999389648438,212.60000610351562,11801,2021-08-02
2021-08-09,217.3253631591797,223.60000610351562,226.89999389648438,197.0,218.14999389648438,9055,2021-08-09
2021-08-16,202.98928833007812,208.85000610351562,231.0,200.0,231.0,3332,2021-08-16
2021-08-23,204.10699462890625,210.0,218.64999389648438,197.0,205.0,4839,2021-08-23
2021-08-30,201.09397888183594,206.89999389648438,209.0,195.0500030517578,206.0,3920,2021-08-30
2021-09-06,196.28289794921875,201.9499969482422,207.85000610351562,194.5,198.5500030517578,5571,2021-09-06
2021-09-13,200.85101318359375,206.64999389648438,208.5,192.5,204.9499969482422,7470,2021-09-13
2021-09-20,189.72230529785156,195.1999969482422,207.0,193.0,199.1999969482422,6217,2021-09-20
2021-09-27,194.33901977539062,199.9499969482422,204.0,190.0500030517578,204.0,4442,2021-09-27
2021-10-04,191.22882080078125,196.75,199.9499969482422,187.1999969482422,199.9499969482422,5720,2021-10-04
2021-10-11,194.04742431640625,199.64999389648438,200.0,192.0,199.0,5941,2021-10-11
2021-10-18,186.41773986816406,191.8000030517578,201.0,185.6999969482422,200.0,5483,2021-10-18
2021-10-25,195.06796264648438,200.6999969482422,205.0,180.5,190.10000610351562,6078,2021-10-25
2021-11-01,196.6716766357422,202.35000610351562,210.6999969482422,192.1999969482422,204.9499969482422,7684,2021-11-01
2021-11-08,197.78941345214844,203.5,209.0,194.5500030517578,209.0,5994,2021-11-08
2021-11-15,187.29246520996094,192.6999969482422,208.89999389648438,189.0500030517578,208.89999389648438,3914,2021-11-15
2021-11-22,178.5936279296875,183.75,199.9499969482422,183.5,195.9499969482422,8749,2021-11-22
2021-11-29,176.69834899902344,181.8000030517578,191.9499969482422,170.10000610351562,191.9499969482422,9085,2021-11-29
2021-12-06,178.20486450195312,183.35000610351562,187.9499969482422,175.10000610351562,185.4499969482422,3713,2021-12-06
2021-12-13,170.91531372070312,175.85000610351562,186.0,175.3000030517578,183.35000610351562,6277,2021-12-13
2021-12-20,168.14529418945312,173.0,182.25,168.10000610351562,175.0,4114,2021-12-20
2021-12-27,176.1151885986328,181.1999969482422,184.39999389648438,168.10000610351562,179.0,2669,2021-12-27
2022-01-03,184.8626251220703,190.1999969482422,198.9499969482422,181.1999969482422,182.0,3123,2022-01-03
2022-01-10,185.6401824951172,191.0,199.0,183.0500030517578,183.25,5642,2022-01-10
2022-01-17,186.41773986816406,191.8000030517578,199.4499969482422,185.0,199.4499969482422,2818,2022-01-17
2022-01-24,182.72434997558594,188.0,199.0,177.3000030517578,199.0,3192,2022-01-24
2022-01-31,195.50534057617188,201.14999389648438,216.5,184.3000030517578,193.64999389648438,27228,2022-01-31
2022-02-07,190.45126342773438,195.9499969482422,206.9499969482422,191.0,201.6999969482422,3649,2022-02-07
2022-02-14,192.24935913085938,197.8000030517578,206.0,181.0500030517578,191.10000610351562,991,2022-02-14
2022-02-21,183.35610961914062,188.64999389648438,199.0,181.5,199.0,2024,2022-02-21
2022-02-28,175.5320281982422,180.60000610351562,191.10000610351562,175.0,188.64999389648438,4398,2022-02-28
2022-03-07,172.03305053710938,177.0,183.85000610351562,171.0,180.60000610351562,2843,2022-03-07
2022-03-14,168.5340576171875,173.39999389648438,179.5,169.0,177.0,4996,2022-03-14
2022-03-21,171.06109619140625,176.0,182.85000610351562,173.25,173.39999389648438,2455,2022-03-21
2022-03-28,174.0255126953125,179.0500030517578,187.0,170.0,172.5,4555,2022-03-28
2022-04-04,193.0269012451172,198.60000610351562,199.39999389648438,170.64999389648438,175.0,6129,2022-04-04
2022-04-11,195.3595428466797,201.0,202.4499969482422,190.10000610351562,190.5,2016,2022-04-11
2022-04-18,185.6401824951172,191.0,203.5,187.75,192.0,1848,2022-04-18
2022-04-25,178.0104522705078,183.14999389648438,200.0,181.5,191.0,5509,2022-04-25
2022-05-02,179.031005859375,184.1999969482422,193.0,177.10000610351562,189.9499969482422,1809,2022-05-02
2022-05-09,168.67987060546875,173.5500030517578,191.85000610351562,169.10000610351562,191.85000610351562,1679,2022-05-09
2022-05-16,164.9864959716797,169.75,177.4499969482422,161.89999389648438,173.5500030517578,4508,2022-05-16
2022-05-23,165.22947692871094,170.0,175.39999389648438,166.0500030517578,168.0,1803,2022-05-23
2022-05-30,173.0535888671875,178.0500030517578,184.60000610351562,162.10000610351562,167.0,2781,2022-05-30
2022-06-06,171.7900390625,176.75,181.0,174.0500030517578,174.5,1583,2022-06-06
2022-06-13,165.22947692871094,170.0,183.8000030517578,167.5,172.25,1024,2022-06-13
2022-06-20,170.08917236328125,175.0,183.0500030517578,165.10000610351562,166.60000610351562,921,2022-06-20
2022-06-27,176.06658935546875,181.14999389648438,185.9499969482422,172.25,175.10000610351562,1241,2022-06-27
2022-07-04,180.2945098876953,185.5,190.35000610351562,175.10000610351562,180.0,750,2022-07-04
2022-07-11,179.75994873046875,184.9499969482422,188.0,175.4499969482422,185.4499969482422,781,2022-07-11
2022-07-18,173.63673400878906,178.64999389648438,184.89999389648438,176.60000610351562,184.89999389648438,544,2022-07-18
2022-07-25,174.99745178222656,180.0500030517578,187.1999969482422,175.0,178.0,2884,2022-07-25
2022-08-01,185.54296875,190.89999389648438,192.60000610351562,183.64999389648438,184.60000610351562,1787,2022-08-01
2022-08-08,186.1747589111328,191.5500030517578,194.10000610351562,182.0,190.89999389648438,4472,2022-08-08
2022-08-15,185.05003356933594,187.39999389648438,197.60000610351562,180.10000610351562,191.5500030517578,5282,2022-08-15
2022-08-22,186.2349853515625,188.60000610351562,194.0,180.39999389648438,187.39999389648438,2321,2022-08-22
2022-08-29,185.79061889648438,188.14999389648438,195.0,181.35000610351562,194.25,3325,2022-08-29
2022-09-05,191.9128875732422,194.35000610351562,199.10000610351562,181.3000030517578,196.39999389648438,4057,2022-09-05
2022-09-12,203.71304321289062,206.3000030517578,219.85000610351562,193.5,198.10000610351562,18257,2022-09-12
2022-09-19,199.0719757080078,201.60000610351562,224.89999389648438,196.8000030517578,196.8000030517578,5417,2022-09-19
2022-09-26,195.12213134765625,197.60000610351562,206.39999389648438,188.6999969482422,206.39999389648438,3377,2022-09-26
2022-10-03,205.09547424316406,207.6999969482422,215.3000030517578,190.0,202.60000610351562,4940,2022-10-03
2022-10-10,197.49203491210938,200.0,213.25,198.5500030517578,207.6999969482422,3683,2022-10-10
2022-10-17,210.37838745117188,213.0500030517578,220.0,198.0,207.9499969482422,7170,2022-10-17
2022-10-24,249.4324493408203,252.60000610351562,252.60000610351562,215.0,219.9499969482422,15464,2022-10-24
2022-10-31,259.7020263671875,263.0,292.3500061035156,258.3999938964844,265.20001220703125,17887,2022-10-31
2022-11-07,275.30389404296875,278.79998779296875,278.79998779296875,248.0,274.5,12433,2022-11-07
2022-11-14,257.4802551269531,260.75,292.70001220703125,236.0,292.70001220703125,33558,2022-11-14
2022-11-21,261.3807067871094,264.70001220703125,279.95001220703125,255.14999389648438,265.8999938964844,15055,2022-11-21
2022-11-28,258.71453857421875,262.0,272.6499938964844,247.64999389648438,272.6499938964844,10562,2022-11-28
2022-12-05,250.32115173339844,253.5,267.6000061035156,252.14999389648438,261.95001220703125,4425,2022-12-05
2022-12-12,259.7020263671875,263.0,264.95001220703125,242.39999389648438,242.39999389648438,4414,2022-12-12
2022-12-19,233.53431701660156,236.5,270.79998779296875,236.5,270.79998779296875,6339,2022-12-19
2022-12-26,245.58132934570312,248.6999969482422,257.0,222.0,224.8000030517578,6139,2022-12-26
2023-01-02,229.23886108398438,232.14999389648438,257.8500061035156,229.64999389648438,257.8500061035156,5724,2023-01-02
2023-01-09,234.42303466796875,237.39999389648438,243.1999969482422,225.0,243.1999969482422,4934,2023-01-09
2023-01-16,237.879150390625,240.89999389648438,248.0,225.0,248.0,4794,2023-01-16
2023-01-23,229.38699340820312,232.3000030517578,252.89999389648438,221.5,242.0,2967,2023-01-23
2023-01-30,232.3987579345703,235.35000610351562,237.0,223.0,232.3000030517578,6357,2023-01-30
2023-02-06,230.5719451904297,233.5,237.0,230.0,237.0,2911,2023-02-06
2023-02-13,248.04998779296875,251.1999969482422,257.3500061035156,230.0,233.5,10089,2023-02-13
2023-02-20,244.692626953125,247.8000030517578,262.54998779296875,234.39999389648438,262.54998779296875,6957,2023-02-20
2023-02-27,240.98965454101562,244.0500030517578,253.9499969482422,237.64999389648438,247.8000030517578,2937,2023-02-27
2023-03-06,239.16285705566406,242.1999969482422,255.25,240.5,253.60000610351562,8753,2023-03-06
2023-03-13,233.0406036376953,236.0,249.9499969482422,227.0,249.9499969482422,3193,2023-03-13
2023-03-20,216.155029296875,218.89999389648438,235.9499969482422,217.0,235.9499969482422,3607,2023-03-20
2023-03-27,220.10487365722656,222.89999389648438,222.89999389648438,206.0,217.0,4645,2023-03-27
2023-04-03,249.82742309570312,253.0,257.25,225.0,225.0,7853,2023-04-03
2023-04-10,253.7772674560547,257.0,265.6499938964844,248.10000610351562,265.6499938964844,6443,2023-04-10
2023-04-17,242.0264892578125,245.10000610351562,259.8500061035156,243.5500030517578,257.0,4024,2023-04-17
2023-04-24,248.1487274169922,251.3000030517578,257.79998779296875,242.14999389648438,245.10000610351562,3009,2023-04-24
2023-05-01,243.8039093017578,246.89999389648438,256.95001220703125,240.0,251.3000030517578,1958,2023-05-01
2023-05-08,250.1236572265625,253.3000030517578,261.95001220703125,235.14999389648438,235.14999389648438,4062,2023-05-08
2023-05-15,257.9739685058594,261.25,264.5,250.14999389648438,254.0,5813,2023-05-15
2023-05-22,253.82662963867188,257.04998779296875,265.0,250.0500030517578,259.45001220703125,3857,2023-05-22
2023-05-29,243.85328674316406,246.9499969482422,273.70001220703125,240.5500030517578,263.0,16133,2023-05-29
2023-06-05,238.22476196289062,241.25,255.39999389648438,232.0500030517578,241.1999969482422,9333,2023-06-05
2023-06-12,237.6322784423828,240.64999389648438,249.25,235.0,239.0500030517578,4435,2023-06-12
2023-06-19,240.59466552734375,243.64999389648438,247.9499969482422,234.60000610351562,240.64999389648438,5797,2023-06-19
2023-06-26,246.71693420410156,249.85000610351562,251.0,237.1999969482422,243.6999969482422,7335,2023-06-26
2023-07-03,254.3203582763672,257.54998779296875,271.0,251.0,254.85000610351562,8935,2023-07-03
2023-07-10,273.427734375,276.8999938964844,284.0,250.10000610351562,258.04998779296875,11536,2023-07-10
2023-07-17,271.0084228515625,274.45001220703125,282.79998779296875,264.04998779296875,276.8500061035156,7443,2023-07-17
2023-07-24,263.1581115722656,266.5,283.0,265.1000061035156,279.95001220703125,6875,2023-07-24
2023-07-31,264.63934326171875,268.0,278.6000061035156,257.5,267.04998779296875,5758,2023-07-31
2023-08-07,264.3924560546875,267.75,279.3999938964844,258.25,279.3999938964844,6964,2023-08-07
2023-08-14,266.9598693847656,270.3500061035156,281.1000061035156,262.0,278.95001220703125,14050,2023-08-14
2023-08-21,340.57501220703125,344.8999938964844,344.8999938964844,270.0,274.95001220703125,12896,2023-08-21
2023-08-28,399.3288879394531,404.3999938964844,404.3999938964844,330.0,344.8999938964844,51164,2023-08-28
2023-09-04,509.5294494628906,516.0,516.0,424.6000061035156,424.6000061035156,29703,2023-09-04
2023-09-11,490.6689453125,496.8999938964844,541.7999877929688,439.6000061035156,541.7999877929688,58551,2023-09-11
2023-09-18,558.401611328125,561.8499755859375,573.2999877929688,501.1000061035156,521.7000122070312,32687,2023-09-18
2023-09-25,504.8324890136719,507.95001220703125,550.6500244140625,507.95001220703125,550.6500244140625,1629,2023-09-25
2023-10-02,465.67425537109375,468.54998779296875,507.95001220703125,468.54998779296875,507.95001220703125,747,2023-10-02
2023-10-09,455.9841003417969,458.79998779296875,460.0,432.29998779296875,459.20001220703125,10025,2023-10-09
2023-10-16,454.6921081542969,457.5,477.29998779296875,457.5,467.95001220703125,5495,2023-10-16
2023-10-23,433.3240661621094,436.0,448.3500061035156,423.6000061035156,448.3500061035156,4935,2023-10-23
2023-10-30,391.68121337890625,394.1000061035156,440.0,372.95001220703125,415.0,20300,2023-10-30
2023-11-06,399.3339538574219,401.79998779296875,418.29998779296875,380.0,408.95001220703125,12254,2023-11-06
2023-11-13,458.3197021484375,461.1499938964844,488.25,442.8999938964844,442.8999938964844,17127,2023-11-13
2023-11-20,414.440673828125,417.0,451.95001220703125,416.95001220703125,451.95001220703125,1312,2023-11-20
2023-11-27,396.1535949707031,398.6000061035156,417.0,398.6000061035156,417.0,7810,2023-11-27
2023-12-04,388.25238037109375,390.6499938964844,398.6499938964844,380.6499938964844,394.0,7044,2023-12-04
2023-12-11,380.69903564453125,383.04998779296875,404.95001220703125,382.5,398.45001220703125,4792,2023-12-11
2023-12-18,397.3462219238281,399.79998779296875,405.95001220703125,390.0,390.70001220703125,16943,2023-12-18
2023-12-25,407.5333251953125,410.04998779296875,439.0,395.8999938964844,399.79998779296875,24412,2023-12-25
2024-01-01,443.2626647949219,446.0,453.79998779296875,405.04998779296875,405.04998779296875,18038,2024-01-01
2024-01-08,452.2074279785156,455.0,491.70001220703125,441.0,468.29998779296875,31515,2024-01-08
2024-01-15,430.4915466308594,433.1499938964844,456.6000061035156,421.0,455.0,10260,2024-01-15
2024-01-22,430.0443115234375,432.70001220703125,451.04998779296875,416.1000061035156,433.1499938964844,4296,2024-01-22
2024-01-29,424.3793029785156,427.0,441.3500061035156,411.0,441.29998779296875,10590,2024-01-29
2024-02-05,409.1732177734375,411.70001220703125,439.0,396.20001220703125,426.95001220703125,7822,2024-02-05
2024-02-12,404.1541748046875,406.6499938964844,421.8500061035156,391.1499938964844,396.0,5666,2024-02-12
2024-02-19,427.8578186035156,430.5,435.5,406.0,419.79998779296875,6849,2024-02-19
2024-02-26,431.0381774902344,433.70001220703125,443.1499938964844,405.0,439.95001220703125,27431,2024-02-26
2024-03-04,460.2577209472656,463.1000061035156,489.0,430.79998779296875,471.95001220703125,37818,2024-03-04
2024-03-11,440.9270935058594,443.6499938964844,490.0,433.0,485.5,19020,2024-03-11
2024-03-18,441.32464599609375,444.04998779296875,459.95001220703125,421.0,446.75,14068,2024-03-18
2024-03-25,405.6947021484375,408.20001220703125,460.95001220703125,402.5,444.04998779296875,11905,2024-03-25
2024-04-01,436.3553161621094,439.04998779296875,456.95001220703125,404.04998779296875,420.70001220703125,23624,2024-04-01
2024-04-08,422.1430969238281,424.75,465.95001220703125,423.04998779296875,459.8999938964844,10924,2024-04-08
2024-04-15,432.67803955078125,435.3500061035156,442.1499938964844,410.0,420.0,9100,2024-04-15
2024-04-22,433.572509765625,436.25,450.0,423.29998779296875,440.5,18421,2024-04-22
2024-04-29,435.4111633300781,438.1000061035156,448.79998779296875,429.5,436.25,12104,2024-04-29
2024-05-06,420.6026306152344,423.20001220703125,443.95001220703125,408.1000061035156,443.95001220703125,11132,2024-05-06
2024-05-13,446.8902587890625,449.6499938964844,453.8999938964844,416.0,431.8999938964844,9387,2024-05-13
2024-05-20,434.3675842285156,437.04998779296875,456.6000061035156,435.0,436.1499938964844,9149,2024-05-20
2024-05-27,417.1737976074219,419.75,455.95001220703125,402.75,405.25,15901,2024-05-27
2024-06-03,427.8081359863281,430.45001220703125,445.95001220703125,371.1499938964844,436.8999938964844,35914,2024-06-03
2024-06-10,457.6736755371094,460.5,465.0,420.0,447.95001220703125,25256,2024-06-10
2024-06-17,642.2836303710938,646.25,727.2999877929688,460.5,460.5,232472,2024-06-17
2024-06-24,534.6980590820312,538.0,674.5499877929688,537.75,655.0,34837,2024-06-24
2024-07-01,612.1696166992188,615.9500122070312,615.9500122070312,512.0499877929688,538.0,32950,2024-07-01
2024-07-08,602.0819091796875,605.7999877929688,627.0499877929688,582.7000122070312,627.0499877929688,17367,2024-07-08
2024-07-15,577.3347778320312,580.9000244140625,613.9500122070312,580.0,596.0,6149,2024-07-15
2024-07-22,562.5261840820312,566.0,584.7999877929688,539.4500122070312,584.7999877929688,6830,2024-07-22
2024-07-29,554.82373046875,558.25,581.8499755859375,545.0,577.3499755859375,5932,2024-07-29
2024-08-05,529.281494140625,532.5499877929688,558.0,505.3500061035156,535.0,5175,2024-08-05
2024-08-12,513.4293212890625,516.5999755859375,526.0,491.04998779296875,526.0,4468,2024-08-12
2024-08-19,532.114013671875,535.4000244140625,542.2000122070312,503.04998779296875,516.5999755859375,6030,2024-08-19
2024-08-26,534.3004760742188,537.5999755859375,551.9500122070312,511.8500061035156,544.0,5095,2024-08-26
2024-09-02,534.5986938476562,537.9000244140625,563.2999877929688,515.0,563.2999877929688,5670,2024-09-02
2024-09-09,519.4422607421875,522.6500244140625,539.4000244140625,516.0999755859375,537.9000244140625,3604,2024-09-09
2024-09-16,485.6012268066406,488.6000061035156,532.0,465.6000061035156,532.0,6144,2024-09-16
2024-09-23,504.8999938964844,504.8999938964844,512.9500122070312,478.0,494.95001220703125,5298,2024-09-23
2024-09-30,473.6499938964844,473.6499938964844,506.8999938964844,470.0,495.0,4646,2024-09-30
2024-10-07,503.20001220703125,503.20001220703125,510.95001220703125,450.0,494.95001220703125,4679,2024-10-07
2024-10-14,469.79998779296875,469.79998779296875,506.95001220703125,464.5,495.1499938964844,5302,2024-10-14
2024-10-21,443.45001220703125,443.45001220703125,488.8999938964844,433.5,488.8999938964844,6604,2024-10-21
2024-10-28,476.8999938964844,476.8999938964844,489.20001220703125,426.3500061035156,433.45001220703125,6941,2024-10-28
2024-11-04,461.1499938964844,461.1499938964844,479.95001220703125,446.1000061035156,470.0,15140,2024-11-04
2024-11-11,505.5,505.5,505.5,451.8999938964844,460.3999938964844,7365,2024-11-11
2024-11-18,614.3499755859375,614.3499755859375,614.3499755859375,530.75,530.75,50031,2024-11-18
2024-11-25,629.3499755859375,629.3499755859375,676.7999877929688,591.0999755859375,645.0499877929688,92924,2024-11-25
2024-12-02,602.75,602.75,645.0,596.7000122070312,635.0,13881,2024-12-02
2024-12-09,624.25,624.25,659.9500122070312,599.0,628.0,15166,2024-12-09
2024-12-16,677.2000122070312,677.2000122070312,740.0,623.0,623.0,30026,2024-12-16
2024-12-23,683.4500122070312,683.4500122070312,711.0499877929688,630.25,695.0,12490,2024-12-23
2024-12-30,715.5499877929688,715.5499877929688,715.5499877929688,652.4000244140625,683.4500122070312,18796,2024-12-30
2025-01-06,771.0,771.0,823.9500122070312,679.7999877929688,724.0,39965,2025-01-06
2025-01-13,749.7999877929688,749.7999877929688,751.7000122070312,668.0,732.5,16267,2025-01-13
2025-01-20,650.1500244140625,650.1500244140625,769.1500244140625,646.5499877929688,751.7000122070312,9465,2025-01-20
2025-01-27,653.4500122070312,653.4500122070312,666.9500122070312,589.0,625.0,6027,2025-01-27
2025-02-03,636.5999755859375,636.5999755859375,651.4500122070312,611.0999755859375,648.9500122070312,3169,2025-02-03
2025-02-10,563.0,563.0,648.9000244140625,563.0,645.0,4875,2025-02-10
2025-02-17,588.3499755859375,588.3499755859375,591.0,523.0499877929688,573.9500122070312,4269,2025-02-17
2025-02-24,513.0999755859375,513.0999755859375,609.5999755859375,513.0999755859375,566.0,7226,2025-02-24
2025-03-03,576.3499755859375,576.3499755859375,579.0,488.1499938964844,488.1499938964844,4862,2025-03-03
2025-03-10,533.7999877929688,533.7999877929688,576.3499755859375,533.7999877929688,576.3499755859375,3197,2025-03-10
2025-03-17,547.25,547.25,547.25,523.1500244140625,523.1500244140625,2361,2025-03-17
2025-03-24,498.0,498.0,544.5499877929688,498.0,536.2999877929688,2344,2025-03-24
2025-03-31,529.9500122070312,529.9500122070312,535.0,495.0,498.0,908,2025-03-31
2025-04-07,502.0,502.0,524.9500122070312,498.8500061035156,519.3499755859375,1482,2025-04-07
2025-04-14,500.0,500.0,504.8500061035156,495.54998779296875,501.75,1063,2025-04-14
2025-04-21,548.0,548.0,584.7000122070312,510.0,523.9500122070312,6278,2025-04-21
2025-04-28,654.1500244140625,654.1500244140625,666.0499877929688,575.4000244140625,575.4000244140625,19536,2025-04-28
2025-05-05,709.0,709.0,745.9500122070312,670.0,675.0499877929688,39272,2025-05-05
2025-05-12,807.3499755859375,807.3499755859375,807.3499755859375,703.0499877929688,740.0,26799,2025-05-12
2025-05-19,809.8499755859375,809.8499755859375,890.0,768.0,847.7000122070312,17151,2025-05-19
2025-05-26,746.1500244140625,746.1500244140625,824.8499755859375,730.0,809.7999877929688,14274,2025-05-26
2025-06-02,712.5,712.5,753.4000244140625,696.8499755859375,746.1500244140625,7853,2025-06-02
2025-06-09,731.9000244140625,731.9000244140625,747.0,690.0499877929688,712.5,13102,2025-06-09
2025-06-16,742.2999877929688,742.2999877929688,759.4500122070312,715.0,759.4500122070312,6954,2025-06-16
2025-06-23,738.75,738.75,758.4000244140625,727.8499755859375,748.7999877929688,10792,2025-06-23
2025-06-30,754.4500122070312,754.4500122070312,767.9500122070312,731.0999755859375,767.9500122070312,11941,2025-06-30
2025-07-07,740.7000122070312,740.7000122070312,784.0,726.0,770.0,11424,2025-07-07
2025-07-14,739.3499755859375,739.3499755859375,751.0,731.0,749.5999755859375,2358,2025-07-14
